Date,Title,Info,Activity,Payments,Fees
03/31/2016,"Promoted Listings","Bill for clicks that occurred on Mar 30, 2016","Promoted Listings",,1.46
03/30/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1128399726",transaction,,0.35
03/30/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
03/30/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1128250634",transaction,,0.35
03/30/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
03/29/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","renew sold",,0.20
03/27/2016,"Automatic Credit Card Payment","MasterCard ending in 3330",payment,58.96,
03/27/2016,"Promoted Listings","Bill for clicks that occurred on Mar 26, 2016","Promoted Listings",,1.72
03/26/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1127175254",transaction,,0.35
03/26/2016,"Jasmine Perfume Oil - a delicate and sweet floral scent - Wear me, Diffuse me.","listing: 256909987","renew sold",,0.20
03/26/2016,"Promoted Listings","Bill for clicks that occurred on Mar 25, 2016","Promoted Listings",,2.24
03/25/2016,"Jasmine Perfume Oil - a delicate and sweet floral scent - Wear me, Diffuse me.","transaction: 1129058623",transaction,,0.63
03/25/2016,"Promoted Listings","Bill for clicks that occurred on Mar 24, 2016","Promoted Listings",,2.48
03/25/2016,"Natural Fragrance Sample Pack","transaction: 1126795446",transaction,,1.16
03/25/2016,"Natural Fragrance Sample Pack","listing: 268616224","auto-renew sold ",,0.20
03/25/2016,"Jasmine Perfume Oil - a delicate and sweet floral scent - Wear me, Diffuse me.","transaction: 1126787720",transaction,,0.35
03/25/2016,"Jasmine Perfume Oil - a delicate and sweet floral scent - Wear me, Diffuse me.","listing: 256909987","auto-renew sold ",,0.20
