Date,Title,Info,Activity,Payments,Fees
03/24/2016,"Natural Fragrance Sample Pack","transaction: 1126694890",transaction,,2.31
03/24/2016,"Natural Fragrance Sample Pack","listing: 268616224","auto-renew sold ",,0.20
03/24/2016,"Natural Fragrance Sample Pack","transaction: 1126694890",multi-quantity,,0.20
03/24/2016,"Promoted Listings","Bill for clicks that occurred on Mar 23, 2016","Promoted Listings",,2.49
03/24/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1126490618",transaction,,0.35
03/24/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
03/23/2016,"Promoted Listings","Bill for clicks that occurred on Mar 22, 2016","Promoted Listings",,2.04
03/22/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1128162165",transaction,,0.35
03/22/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 268616808","auto-renew sold ",,0.20
03/22/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1128162165",multi-quantity,,0.20
03/22/2016,"Promoted Listings","Bill for clicks that occurred on Mar 21, 2016","Promoted Listings",,2.50
03/21/2016,"Promoted Listings","Bill for clicks that occurred on Mar 20, 2016","Promoted Listings",,2.43
03/20/2016,"Promoted Listings","Bill for clicks that occurred on Mar 19, 2016","Promoted Listings",,2.30
03/19/2016,"Promoted Listings","Bill for clicks that occurred on Mar 18, 2016","Promoted Listings",,2.38
03/18/2016,"Promoted Listings","Bill for clicks that occurred on Mar 17, 2016","Promoted Listings",,2.46
03/18/2016,"Jasmine Perfume Oil Sample - a delicate and sweet floral scent - Wear me, Diffuse me.","transaction: 1124683556",transaction,,0.18
03/18/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1124683558",transaction,,0.18
03/18/2016,"Pure Sandalwood Perfume Oil - A smooth, subtly sweet woody scent, calming and ordering. Wear it, diffuse it, meditate with it, enjoy :)","transaction: 1124683560",transaction,,1.02
03/18/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 268616808","auto-renew sold ",,0.20
03/18/2016,"Pure Sandalwood Perfume Oil - A smooth, subtly sweet woody scent, calming and ordering. Wear it, diffuse it, meditate with it, enjoy :)","listing: 256041259","auto-renew sold ",,0.20
03/18/2016,"Jasmine Perfume Oil Sample - a delicate and sweet floral scent - Wear me, Diffuse me.","listing: 268509553","auto-renew sold ",,0.20
03/17/2016,"Cedar Tree Oil From Lebanon - Good for Asthma, Thinking Clearly, Breathing Deeply, Being So Fresh and So Clean Clean","listing: 286268239",listing,,0.20
03/17/2016,"Promoted Listings","Bill for clicks that occurred on Mar 16, 2016","Promoted Listings",,2.50
03/16/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1126352783",transaction,,0.35
03/16/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
03/16/2016,"Promoted Listings","Bill for clicks that occurred on Mar 15, 2016","Promoted Listings",,2.48
03/16/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1124067438",transaction,,0.35
03/16/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
03/15/2016,"Promoted Listings","Bill for clicks that occurred on Mar 14, 2016","Promoted Listings",,2.46
03/15/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1125761897",transaction,,0.70
03/15/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
03/14/2016,"Promoted Listings","Bill for clicks that occurred on Mar 13, 2016","Promoted Listings",,2.27
03/13/2016,"Promoted Listings","Bill for clicks that occurred on Mar 12, 2016","Promoted Listings",,1.87
03/12/2016,"Promoted Listings","Bill for clicks that occurred on Mar 11, 2016","Promoted Listings",,0.22
03/11/2016,"Promoted Listings","Bill for clicks that occurred on Mar 10, 2016","Promoted Listings",,1.56
03/10/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1122330996",transaction,,0.35
03/10/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
03/10/2016,"Promoted Listings","Bill for clicks that occurred on Mar 9, 2016","Promoted Listings",,1.71
03/09/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1123964649",transaction,,0.35
03/09/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
03/09/2016,"Promoted Listings","Bill for clicks that occurred on Mar 8, 2016","Promoted Listings",,0.24
03/08/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1121801778",transaction,,0.35
03/08/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
03/08/2016,"Promoted Listings","Bill for clicks that occurred on Mar 7, 2016","Promoted Listings",,0.37
03/07/2016,"Promoted Listings","Bill for clicks that occurred on Mar 6, 2016","Promoted Listings",,0.70
03/06/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1122964591",transaction,,0.18
03/06/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 268616808","auto-renew sold ",,0.20
03/05/2016,"Promoted Listings","Bill for clicks that occurred on Mar 4, 2016","Promoted Listings",,0.66
03/04/2016,"Promoted Listings","Bill for clicks that occurred on Mar 3, 2016","Promoted Listings",,0.72
03/03/2016,"Promoted Listings","Bill for clicks that occurred on Mar 2, 2016","Promoted Listings",,0.17
03/02/2016,"Promoted Listings","Bill for clicks that occurred on Mar 1, 2016","Promoted Listings",,2.21
03/01/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1121365421",transaction,,0.18
03/01/2016,"Jasmine Perfume Oil Sample - a delicate and sweet floral scent - Wear me, Diffuse me.","transaction: 1121365419",transaction,,0.18
03/01/2016,"Jasmine Perfume Oil Sample - a delicate and sweet floral scent - Wear me, Diffuse me.","listing: 268509553","auto-renew sold ",,0.20
03/01/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 268616808","auto-renew sold ",,0.20
03/01/2016,"Promoted Listings","Bill for clicks that occurred on Feb 29, 2016","Promoted Listings",,0.81
03/01/2016,"Automatic Credit Card Payment","MasterCard ending in 3330",payment,28.28,
02/29/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","transaction: 1120954681",transaction,,0.70
02/29/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
