Date,Title,Info,Activity,Payments,Fees
12/30/2015,"Promoted Listings","Bill for clicks that occurred on Dec 29, 2015","Promoted Listings",,1.75
12/29/2015,"Promoted Listings","Bill for clicks that occurred on Dec 28, 2015","Promoted Listings",,1.47
12/28/2015,"Promoted Listings","Bill for clicks that occurred on Dec 27, 2015","Promoted Listings",,1.51
12/27/2015,"Promoted Listings","Bill for clicks that occurred on Dec 26, 2015","Promoted Listings",,1.90
12/26/2015,"Promoted Listings","Bill for clicks that occurred on Dec 25, 2015","Promoted Listings",,2.49
12/23/2015,"Promoted Listings","Bill for clicks that occurred on Dec 22, 2015","Promoted Listings",,1.03
12/22/2015,"Promoted Listings","Bill for clicks that occurred on Dec 21, 2015","Promoted Listings",,0.57
12/13/2015,"Rose oil","transaction: 1093773578",transaction,,0.63
12/13/2015,"Petrichor oil – Mitti, Attar","transaction: 1096564881",transaction,,0.70
12/13/2015,"Jasmine oil","transaction: 1093773580",transaction,,0.70
12/13/2015,"Rose Perfume Oil - An all natural sweet floral scent to remind you of garden walks - use in your perfumes and soap making","listing: 256907269","auto-renew sold ",,0.20
12/13/2015,"Jasmine Perfume Oil - a delicate and sweet floral scent - Wear me, Diffuse me.","listing: 256909987","auto-renew sold ",,0.20
12/13/2015,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
12/13/2015,"Rose oil","transaction: 1093773578",multi-quantity,,0.20
12/13/2015,"Jasmine oil","transaction: 1093773580",multi-quantity,,0.20
12/13/2015,"Petrichor oil – Mitti, Attar","transaction: 1096564881",multi-quantity,,0.20
12/13/2015,"Promoted Listings","Bill for clicks that occurred on Dec 12, 2015","Promoted Listings",,1.49
12/12/2015,"Petrichor oil – Mitti, Attar","transaction: 1096176389",transaction,,0.35
12/12/2015,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
12/12/2015,"Promoted Listings","Bill for clicks that occurred on Dec 11, 2015","Promoted Listings",,1.13
12/11/2015,"Promoted Listings","Bill for clicks that occurred on Dec 10, 2015","Promoted Listings",,1.75
12/10/2015,"Sandalwood oil","transaction: 1095187015",transaction,,1.02
12/10/2015,"Pure Sandalwood Perfume Oil - A smooth, subtly sweet woody scent, calming and ordering. Wear it, diffuse it, meditate with it, enjoy :)","listing: 256041259","auto-renew sold ",,0.20
12/10/2015,"Promoted Listings","Bill for clicks that occurred on Dec 9, 2015","Promoted Listings",,1.56
12/09/2015,"Promoted Listings","Bill for clicks that occurred on Dec 8, 2015","Promoted Listings",,1.13
12/08/2015,"Promoted Listings","Bill for clicks that occurred on Dec 7, 2015","Promoted Listings",,2.13
12/07/2015,"USPS Shipping Label","shipping label:  19480821460","shipping labels",,2.22
12/07/2015,"USPS Shipping Label","shipping label:  19471467465","shipping labels",,2.35
12/07/2015,"Promoted Listings","Bill for clicks that occurred on Dec 6, 2015","Promoted Listings",,2.43
12/06/2015,"Petrichor oil – Mitti, Attar","transaction: 1089631816",transaction,,0.35
12/06/2015,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
12/06/2015,"Promoted Listings","Bill for clicks that occurred on Dec 5, 2015","Promoted Listings",,1.58
12/05/2015,"Promoted Listings","Bill for clicks that occurred on Dec 4, 2015","Promoted Listings",,2.03
12/04/2015,"Promoted Listings","Bill for clicks that occurred on Dec 3, 2015","Promoted Listings",,2.32
12/03/2015,"Promoted Listings","Bill for clicks that occurred on Dec 2, 2015","Promoted Listings",,1.99
12/02/2015,"Promoted Listings","Bill for clicks that occurred on Dec 1, 2015","Promoted Listings",,1.16
12/02/2015,"Sandalwood oil","transaction: 1090465247",transaction,,1.02
12/02/2015,"Jasmine oil","transaction: 1090465249",transaction,,0.35
12/02/2015,"Jasmine Perfume Oil - a delicate and sweet floral scent - Wear me, Diffuse me.","listing: 256909987","auto-renew sold ",,0.20
12/02/2015,"Pure Sandalwood Perfume Oil - A smooth, subtly sweet woody scent, calming and ordering. Wear it, diffuse it, meditate with it, enjoy :)","listing: 256041259","auto-renew sold ",,0.20
12/01/2015,"Promoted Listings","Bill for clicks that occurred on Nov 30, 2015","Promoted Listings",,1.81
12/01/2015,"Automatic Credit Card Payment","MasterCard ending in 3330",payment,1.90,
