Date,Title,Info,Activity,Payments,Fees
01/31/2016,"Promoted Listings","Bill for clicks that occurred on Jan 30, 2016","Promoted Listings",,2.47
01/30/2016,"Petrichor oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin infused perfume to wear, make candles, evoke memories","transaction: 1108216152","transaction credit",0.18,
01/30/2016,"Promoted Listings","Bill for clicks that occurred on Jan 29, 2016","Promoted Listings",,2.28
01/29/2016,"Petrichor oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin infused perfume to wear, make candles, evoke memories","transaction: 1108648976",transaction,,0.70
01/29/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
01/29/2016,"Promoted Listings","Bill for clicks that occurred on Jan 28, 2016","Promoted Listings",,2.41
01/28/2016,"Petrichor oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin infused perfume to wear, make candles, evoke memories","transaction: 1108384500",transaction,,0.35
01/28/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
01/28/2016,"Promoted Listings","Bill for clicks that occurred on Jan 27, 2016","Promoted Listings",,2.30
01/28/2016,"Petrichor oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin infused perfume to wear, make candles, evoke memories","transaction: 1108216152",transaction,,0.18
01/28/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
01/27/2016,"Promoted Listings","Bill for clicks that occurred on Jan 26, 2016","Promoted Listings",,2.25
01/26/2016,"Promoted Listings","Bill for clicks that occurred on Jan 25, 2016","Promoted Listings",,3.93
01/25/2016,"Promoted Listings","Bill for clicks that occurred on Jan 24, 2016","Promoted Listings",,5.00
01/24/2016,"Promoted Listings","Bill for clicks that occurred on Jan 23, 2016","Promoted Listings",,4.99
01/23/2016,"Petrichor oil – Mitti, Attar","transaction: 1106809982",transaction,,0.35
01/23/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
01/23/2016,"Promoted Listings","Bill for clicks that occurred on Jan 22, 2016","Promoted Listings",,3.08
01/22/2016,"Promoted Listings","Bill for clicks that occurred on Jan 21, 2016","Promoted Listings",,0.98
01/22/2016,"Vetiver – Khas essential oil extract","transaction: 1108402619",transaction,,0.53
01/22/2016,"Vetiver Fragrance Oil – A deep and rich earthy grassy scent. Long lasting. Powerful. Use in candles, perfumes, soaps and more :)","listing: 256999257","auto-renew sold ",,0.20
01/22/2016,"Petrichor oil – Mitti, Attar","transaction: 1106306092",transaction,,0.70
01/22/2016,"Henna Essential OIl","transaction: 1108388579",transaction,,0.35
01/22/2016,"Jasmine oil","transaction: 1108388581",transaction,,0.35
01/22/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
01/22/2016,"Natural Henna Perfume Oil - Spicy and butter scent to get you into the wedding mood. Great for hair care, massage into scalp :)","listing: 256996715","auto-renew sold ",,0.20
01/22/2016,"Jasmine Perfume Oil - a delicate and sweet floral scent - Wear me, Diffuse me.","listing: 256909987","auto-renew sold ",,0.20
01/21/2016,"Petrichor oil – Mitti, Attar","transaction: 1106222886",transaction,,0.35
01/21/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","auto-renew sold ",,0.20
01/20/2016,"Promoted Listings","Bill for clicks that occurred on Jan 19, 2016","Promoted Listings",,1.59
01/19/2016,"Petrichor Oil – Soaked Earth Fragrance - Mitti, Attar - A Geosmin Infused Perfume to Wear, Make Candles, Evoke Memories","listing: 256843287","renew sold",,0.20
01/18/2016,"Petrichor oil – Mitti, Attar","transaction: 1105274390",transaction,,0.35
01/18/2016,"Rose oil","transaction: 1105274392",transaction,,0.32
01/18/2016,"Rose Perfume Oil - An all natural sweet floral scent to remind you of garden walks - use in your perfumes and soap making","listing: 256907269","auto-renew sold ",,0.20
01/18/2016,"Promoted Listings","Bill for clicks that occurred on Jan 17, 2016","Promoted Listings",,0.56
01/17/2016,"Promoted Listings","Bill for clicks that occurred on Jan 16, 2016","Promoted Listings",,0.33
01/16/2016,"Promoted Listings","Bill for clicks that occurred on Jan 15, 2016","Promoted Listings",,0.90
01/14/2016,"Promoted Listings","Bill for clicks that occurred on Jan 13, 2016","Promoted Listings",,1.62
01/13/2016,"Promoted Listings","Bill for clicks that occurred on Jan 12, 2016","Promoted Listings",,1.93
01/01/2016,"Automatic Credit Card Payment","MasterCard ending in 3330",payment,45.12,
